Cité Antique;Longitude;Latitude;Région
Iasos;27.58632;37.2779;
Milet;27.27917;37.51278;
Didyme;27.2668129;37.3769167;
Ephèse;27.3393194;37.9404455;
Ilion;26.23909;39.95732;
Méthymne ;26.2117451;39.272841;Lesbos
Kymè;26.93638888888889;38.7591667;
Priène;27.2959755;37.6613182;
Magnésie du Ménandre;27.52722222222222;37.8527778;
Mylasa;27.72749;37.2557647;
Hyllarima;28.3492103;37.505003;
Cyzique;27.793055555555558;40.3986111;
Érythrées ;26.480833333333333;38.3827778;
Pergame;27.1844821;39.1306225;
Sélymbria ;28.2481709;41.0742476;
Smyrne;27.02997;38.23166;
Téos;26.7844611;38.1945123;
Euromos;27.6750765;37.3743507;
Abydos ;26.4112686;40.1942959;
